"","Date","LUATTRUU.Index"
"708",1996-10-11,"799.37"
"709",1996-10-15,"799.84"
"710",1996-10-16,"799.53"
"711",1996-10-17,"802.14"
"712",1996-10-18,"802.62"
"713",1996-10-21,"802.30"
"714",1996-10-22,"800.95"
"715",1996-10-23,"801.59"
"716",1996-10-24,"801.27"
"717",1996-10-25,"802.70"
"718",1996-10-28,"802.70"
"719",1996-10-29,"808.48"
"720",1996-10-30,"808.56"
"721",1996-10-31,"810.22"
"722",1996-11-01,"809.32"
"723",1996-11-04,"810.37"
"724",1996-11-05,"812.96"
"725",1996-11-06,"812.64"
"726",1996-11-07,"814.42"
"727",1996-11-08,"813.94"
"728",1996-11-12,"817.10"
"729",1996-11-13,"816.85"
"730",1996-11-14,"818.88"
"731",1996-11-15,"818.07"
"732",1996-11-18,"818.07"
"733",1996-11-19,"819.20"
"734",1996-11-20,"820.66"
"735",1996-11-21,"820.17"
"736",1996-11-22,"819.77"
"737",1996-11-25,"820.66"
"738",1996-11-26,"820.74"
"739",1996-11-27,"820.74"
"740",1996-11-29,"824.26"
"741",1996-12-03,"824.57"
"742",1996-12-04,"822.59"
"743",1996-12-05,"818.80"
"744",1996-12-06,"817.73"
"745",1996-12-09,"820.20"
"746",1996-12-10,"819.96"
"747",1996-12-11,"815.01"
"748",1996-12-12,"813.78"
"749",1996-12-13,"816.50"
"750",1996-12-16,"815.01"
"751",1996-12-17,"814.02"
"752",1996-12-18,"812.46"
"753",1996-12-19,"816.17"
"754",1996-12-20,"816.74"
"755",1996-12-23,"817.40"
"756",1996-12-24,"817.32"
"757",1996-12-26,"817.40"
"758",1996-12-27,"819.38"
"759",1996-12-30,"819.79"
"760",1996-12-31,"815.77"
"761",1997-01-02,"811.84"
"762",1997-01-03,"812.74"
"763",1997-01-06,"812.33"
"764",1997-01-07,"811.27"
"765",1997-01-08,"810.86"
"766",1997-01-09,"813.14"
"767",1997-01-10,"809.39"
"768",1997-01-13,"809.88"
"769",1997-01-14,"813.39"
"770",1997-01-15,"813.47"
"771",1997-01-16,"811.76"
"772",1997-01-17,"812.57"
"773",1997-01-21,"814.61"
"774",1997-01-22,"813.55"
"775",1997-01-23,"812.74"
"776",1997-01-24,"811.11"
"777",1997-01-27,"809.96"
"778",1997-01-28,"811.35"
"779",1997-01-29,"812.08"
"780",1997-01-30,"813.31"
"781",1997-01-31,"816.58"
"782",1997-02-03,"819.09"
"783",1997-02-04,"819.67"
"784",1997-02-05,"819.09"
"785",1997-02-06,"818.85"
"786",1997-02-07,"821.05"
"787",1997-02-10,"821.46"
"788",1997-02-11,"821.46"
"789",1997-02-12,"821.30"
"790",1997-02-13,"824.40"
"791",1997-02-14,"826.44"
"792",1997-02-18,"826.69"
"793",1997-02-19,"826.12"
"794",1997-02-20,"824.16"
"795",1997-02-21,"824.07"
"796",1997-02-24,"823.42"
